Model,Type,File,Position_1,Position_2,Position_3,Position_4,Position_5
Qwen,Local,semantic_similarity_qwen_refusal_full_search.json,0.621818,0.637832,0.591255,0.485083,0.652845
Qwen,Local,semantic_similarity_qwen_refusal_full_search_base.json,0.968689,0.884247,0.877238,0.856648,0.759031
Qwen,Local,semantic_similarity_qwen_refusal_full_search_prefill_1_loop_answer.json,0.861265,0.737410,0.691298,0.679935,0.655793
Qwen,Local,semantic_similarity_qwen_refusal_full_search_prefill_1_once.json,0.856070,0.686613,0.702898,0.656399,0.645384
Qwen,Local,semantic_similarity_qwen_refusal_full_search_prefill_2_loop_answer.json,0.866194,0.783478,0.726182,0.722053,0.714565
Qwen,Local,semantic_similarity_qwen_refusal_full_search_prefill_2_once.json,0.865961,0.796786,0.783258,0.768071,0.742528
Qwen,Local,semantic_similarity_qwen_refusal_full_search_prefill_3_loop_answer.json,0.738076,0.738523,0.717107,0.698051,0.685386
Qwen,Local,semantic_similarity_qwen_refusal_full_search_prefill_3_once.json,0.730239,0.740807,0.774193,0.755872,0.757216
Qwen,Local,semantic_similarity_qwen_refusal_full_search_prompt_1.json,0.842400,0.708391,0.659774,0.607148,0.566069
Qwen,Local,semantic_similarity_qwen_refusal_full_search_prompt_1_ten_searches.json,0.884056,0.755033,0.736602,0.717965,0.654740
Qwen,Local,semantic_similarity_qwen_refusal_full_search_prompt_2.json,0.843769,0.695165,0.734088,0.694399,0.670639
Qwen,Local,semantic_similarity_qwen_refusal_full_search_prompt_2_ten_searches.json,0.859689,0.750209,0.738685,0.744945,0.708489
Qwen,Web,semantic_similarity_qwen_refusal_full_search_base_web.json,0.964903,0.855118,0.839778,0.806611,0.782064
Qwen,Web,semantic_similarity_qwen_refusal_full_search_prefill_1_loop_answer_web.json,0.855927,0.739805,0.689314,0.671260,0.672259
Qwen,Web,semantic_similarity_qwen_refusal_full_search_prefill_1_once_web.json,0.854900,0.704980,0.692070,0.692937,0.727692
Qwen,Web,semantic_similarity_qwen_refusal_full_search_prefill_2_loop_answer_web.json,0.868406,0.740452,0.724392,0.738957,0.733952
Qwen,Web,semantic_similarity_qwen_refusal_full_search_prefill_2_once_web.json,0.865943,0.795458,0.747516,0.755896,0.797871
Qwen,Web,semantic_similarity_qwen_refusal_full_search_prefill_3_loop_answer_web.json,0.738631,0.745202,0.724507,0.713368,0.713420
Qwen,Web,semantic_similarity_qwen_refusal_full_search_prefill_3_once_web.json,0.738590,0.743186,0.659183,0.487816,0.532223
Qwen,Web,semantic_similarity_qwen_refusal_full_search_prompt_1_ten_searches_web.json,0.882842,0.755786,0.703484,0.731672,0.735415
Qwen,Web,semantic_similarity_qwen_refusal_full_search_prompt_1_web.json,0.841876,0.694879,0.636188,0.615445,0.599057
Qwen,Web,semantic_similarity_qwen_refusal_full_search_prompt_2_ten_searches_web.json,0.857609,0.750886,0.699906,0.709420,0.690345
Qwen,Web,semantic_similarity_qwen_refusal_full_search_prompt_2_web.json,0.850197,0.692081,0.667511,0.605219,0.565935
Qwen,Web,semantic_similarity_qwen_refusal_full_search_web.json,0.571803,0.591488,0.466461,0.635133,0.518963
Llama,Local,semantic_similarity_llama_refusal_full_search.json,0.787448,,,,
Llama,Local,semantic_similarity_llama_refusal_full_search_base.json,0.976728,,,,
Llama,Local,semantic_similarity_llama_refusal_full_search_prefill_1_loop_answer_new_stricter.json,0.910138,,,,
Llama,Local,semantic_similarity_llama_refusal_full_search_prefill_1_once.json,0.909748,,,,
Llama,Local,semantic_similarity_llama_refusal_full_search_prefill_2_loop_answer_new_stricter.json,0.647867,,,,
Llama,Local,semantic_similarity_llama_refusal_full_search_prefill_2_once.json,0.928788,,,,
Llama,Local,semantic_similarity_llama_refusal_full_search_prefill_3_loop_answer_new_stricter.json,0.877732,,,,
Llama,Local,semantic_similarity_llama_refusal_full_search_prefill_3_once.json,0.878952,,,,
Llama,Local,semantic_similarity_llama_refusal_full_search_prompt_1.json,0.659810,,,,
Llama,Local,semantic_similarity_llama_refusal_full_search_prompt_1_ten_searches.json,0.655175,,,,
Llama,Local,semantic_similarity_llama_refusal_full_search_prompt_2.json,0.843724,,,,
Llama,Local,semantic_similarity_llama_refusal_full_search_prompt_2_ten_searches.json,0.751344,,,,
Llama,Web,semantic_similarity_llama_refusal_full_search_base_web.json,0.976480,,,,
Llama,Web,semantic_similarity_llama_refusal_full_search_prefill_1_loop_answer_web_new_stricter.json,0.922087,,,,
Llama,Web,semantic_similarity_llama_refusal_full_search_prefill_1_once_web.json,0.912256,,,,
Llama,Web,semantic_similarity_llama_refusal_full_search_prefill_2_loop_answer_web_new_stricter.json,0.757138,,,,
Llama,Web,semantic_similarity_llama_refusal_full_search_prefill_2_once_web.json,0.930021,,,,
Llama,Web,semantic_similarity_llama_refusal_full_search_prefill_3_loop_answer_web_new_stricter.json,0.881073,,,,
Llama,Web,semantic_similarity_llama_refusal_full_search_prefill_3_once_web.json,0.875294,,,,
Llama,Web,semantic_similarity_llama_refusal_full_search_prompt_1_ten_searches_web.json,0.657455,,,,
Llama,Web,semantic_similarity_llama_refusal_full_search_prompt_1_web.json,0.681657,,,,
Llama,Web,semantic_similarity_llama_refusal_full_search_prompt_2_ten_searches_web.json,0.738227,,,,
Llama,Web,semantic_similarity_llama_refusal_full_search_prompt_2_web.json,0.845550,,,,
Llama,Web,semantic_similarity_llama_refusal_full_search_web.json,0.722193,,,,

